School Year,State,District Code,District Name,School Code,School Name,Grade,Total,Hispanic / Latino of any race(s),American Indian / Alaskan Native,Asian,Black / African American,Native Hawaiian / Other Pacific Islander,White,Two or More Races,Not Provided*,Male,Female,Hispanic / Latino of any race(s)_M,Hispanic / Latino of any race(s)_F,American Indian / Alaskan Native_M,American Indian / Alaskan Native_F,Asian_M,Asian_F,Black / African American_M,Black / African American_F,Native Hawaiian / Other Pacific Islander_M,Native Hawaiian / Other Pacific Islander_F,White_M,White_F,Two or More Races_M,Two or More Races_F,Not Provided_M*,Not Provided_F*,% Hispanic / Latino of any race(s),% American Indian / Alaskan Native,% Asian,% Black / African American,% Native Hawaiian / Other Pacific Islander,% White,% Two or More Races,% Not Provided*,% Male,% Female
2015,WA,27010,Tacoma School District,2940,Arlington,1,43,14,0,0,8,6,11,4,0,27,16,9,5,0,0,0,0,5,3,4,2,6,5,3,1,0,0,32.56,0.00,0.00,18.60,13.95,25.58,9.30,0.00,62.79,37.21
2015,WA,27010,Tacoma School District,2940,Arlington,2,36,7,0,1,11,0,13,4,0,14,22,2,5,0,0,0,1,4,7,0,0,7,6,1,3,0,0,19.44,0.00,2.78,30.56,0.00,36.11,11.11,0.00,38.89,61.11
2015,WA,27010,Tacoma School District,2940,Arlington,3,47,10,1,1,11,3,20,1,0,24,23,7,3,1,0,1,0,5,6,1,2,9,11,0,1,0,0,21.28,2.13,2.13,23.40,6.38,42.55,2.13,0.00,51.06,48.94
2015,WA,27010,Tacoma School District,2940,Arlington,4,36,4,0,4,10,5,11,2,0,17,19,2,2,0,0,1,3,4,6,2,3,6,5,2,0,0,0,11.11,0.00,11.11,27.78,13.89,30.56,5.56,0.00,47.22,52.78
2015,WA,27010,Tacoma School District,2940,Arlington,5,43,7,0,6,8,3,15,4,0,21,22,2,5,0,0,2,4,6,2,1,2,7,8,3,1,0,0,16.28,0.00,13.95,18.60,6.98,34.88,9.30,0.00,48.84,51.16
2015,WA,27010,Tacoma School District,3054,Baker,6,224,63,2,45,43,12,47,12,0,117,107,31,32,2,0,22,23,20,23,9,3,28,19,5,7,0,0,28.13,0.89,20.09,19.20,5.36,20.98,5.36,0.00,52.23,47.77
2015,WA,27010,Tacoma School District,3054,Baker,7,246,63,5,46,37,14,70,11,0,117,129,26,37,4,1,25,21,16,21,8,6,33,37,5,6,0,0,25.61,2.03,18.70,15.04,5.69,28.46,4.47,0.00,47.56,52.44
2015,WA,27010,Tacoma School District,3054,Baker,8,225,60,1,43,38,10,62,11,0,112,113,35,25,0,1,19,24,19,19,4,6,32,30,3,8,0,0,26.67,0.44,19.11,16.89,4.44,27.56,4.89,0.00,49.78,50.22
2015,WA,27010,Tacoma School District,3449,Birney,PK,32,10,1,1,4,1,15,0,0,16,16,5,5,0,1,1,0,1,3,0,1,9,6,0,0,0,0,31.25,3.13,3.13,12.50,3.13,46.88,0.00,0.00,50.00,50.00
2015,WA,27010,Tacoma School District,3449,Birney,K1,89,36,0,5,14,3,19,12,0,49,40,17,19,0,0,5,0,7,7,3,0,11,8,6,6,0,0,40.45,0.00,5.62,15.73,3.37,21.35,13.48,0.00,55.06,44.94
2015,WA,27010,Tacoma School District,3449,Birney,1,78,24,0,3,21,2,18,10,0,43,35,16,8,0,0,2,1,7,14,1,1,11,7,6,4,0,0,30.77,0.00,3.85,26.92,2.56,23.08,12.82,0.00,55.13,44.87
2015,WA,27010,Tacoma School District,3449,Birney,2,81,28,0,6,11,5,25,6,0,42,39,19,9,0,0,1,5,6,5,3,2,12,13,1,5,0,0,34.57,0.00,7.41,13.58,6.17,30.86,7.41,0.00,51.85,48.15
2015,WA,27010,Tacoma School District,3449,Birney,3,62,19,0,3,20,2,17,1,0,36,26,10,9,0,0,2,1,10,10,1,1,12,5,1,0,0,0,30.65,0.00,4.84,32.26,3.23,27.42,1.61,0.00,58.06,41.94
2015,WA,27010,Tacoma School District,3449,Birney,4,52,13,0,3,15,3,18,0,0,26,26,5,8,0,0,2,1,8,7,2,1,9,9,0,0,0,0,25.00,0.00,5.77,28.85,5.77,34.62,0.00,0.00,50.00,50.00
2015,WA,27010,Tacoma School District,3449,Birney,5,50,5,0,7,16,2,17,3,0,27,23,3,2,0,0,3,4,8,8,0,2,12,5,1,2,0,0,10.00,0.00,14.00,32.00,4.00,34.00,6.00,0.00,54.00,46.00
2015,WA,27010,Tacoma School District,2094,Blix Elementary,PK,3,0,0,1,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0.00,0.00,33.33,0.00,0.00,0.00,66.67,0.00,100.00,0.00
2015,WA,27010,Tacoma School District,2094,Blix Elementary,K1,88,28,1,11,11,5,27,5,0,40,48,11,17,0,1,4,7,6,5,1,4,15,12,3,2,0,0,31.82,1.14,12.50,12.50,5.68,30.68,5.68,0.00,45.45,54.55
2015,WA,27010,Tacoma School District,2094,Blix Elementary,1,87,30,1,7,17,1,26,5,0,47,40,16,14,1,0,5,2,7,10,1,0,15,11,2,3,0,0,34.48,1.15,8.05,19.54,1.15,29.89,5.75,0.00,54.02,45.98
2015,WA,27010,Tacoma School District,2094,Blix Elementary,2,89,30,1,12,11,3,29,3,0,50,39,17,13,1,0,7,5,6,5,2,1,15,14,2,1,0,0,33.71,1.12,13.48,12.36,3.37,32.58,3.37,0.00,56.18,43.82
2015,WA,27010,Tacoma School District,2094,Blix Elementary,3,77,26,0,11,14,2,20,4,0,39,38,13,13,0,0,8,3,6,8,1,1,9,11,2,2,0,0,33.77,0.00,14.29,18.18,2.60,25.97,5.19,0.00,50.65,49.35
2015,WA,27010,Tacoma School District,2094,Blix Elementary,4,85,27,4,7,22,2,21,2,0,41,44,11,16,3,1,4,3,8,14,2,0,11,10,2,0,0,0,31.76,4.71,8.24,25.88,2.35,24.71,2.35,0.00,48.24,51.76
2015,WA,27010,Tacoma School District,2094,Blix Elementary,5,65,16,2,10,16,2,18,1,0,35,30,6,10,1,1,5,5,11,5,1,1,11,7,0,1,0,0,24.62,3.08,15.38,24.62,3.08,27.69,1.54,0.00,53.85,46.15
2015,WA,27010,Tacoma School District,3646,Boze,PK,8,1,0,0,2,0,3,2,0,7,1,1,0,0,0,0,0,2,0,0,0,2,1,2,0,0,0,12.50,0.00,0.00,25.00,0.00,37.50,25.00,0.00,87.50,12.50
2015,WA,27010,Tacoma School District,3646,Boze,K1,62,19,1,11,12,3,8,8,0,37,25,9,10,1,0,6,5,9,3,2,1,6,2,4,4,0,0,30.65,1.61,17.74,19.35,4.84,12.90,12.90,0.00,59.68,40.32
2015,WA,27010,Tacoma School District,3646,Boze,1,65,23,0,15,8,2,11,6,0,28,37,10,13,0,0,9,6,2,6,1,1,4,7,2,4,0,0,35.38,0.00,23.08,12.31,3.08,16.92,9.23,0.00,43.08,56.92
2015,WA,27010,Tacoma School District,3646,Boze,2,70,28,0,10,13,4,15,0,0,24,46,9,19,0,0,1,9,3,10,2,2,9,6,0,0,0,0,40.00,0.00,14.29,18.57,5.71,21.43,0.00,0.00,34.29,65.71
2015,WA,27010,Tacoma School District,3646,Boze,3,52,19,0,10,12,1,10,0,0,26,26,9,10,0,0,4,6,7,5,1,0,5,5,0,0,0,0,36.54,0.00,19.23,23.08,1.92,19.23,0.00,0.00,50.00,50.00
